,participant,rs,ls,MSE
1,p1,0.985250690347509,0.0298759055061671,50.3301667099826
2,p2,0.791904013588023,0.320839512280145,57.5912609999759
3,p3,0.890478001689908,0.228692325076296,87.0964351059899
4,p4,0.819697320409498,0.162724291556978,45.1433713115851
5,p5,0.911517786311737,0.204584741808374,68.4668242377147
6,p6,0.7154742216286,0.679954871275965,112.045301368366
7,p7,0.972653880459894,0.0550647491901885,88.8252003803293
8,p8,0.852044293680179,0.599852483312395,119.403855536819
9,p9,0.797714233474939,0.434901816642377,70.8320007803991
10,p10,0.763395820710243,0.580841649708288,46.5517397168005
11,p11,0.990869720122595,0.0350843958725968,57.4970008363372
12,p12,0.788586972895427,0.501742202511065,78.2896924672444
13,p13,0.726078181011695,0.999999936061421,70.4382018347859
14,p14,0.971697372081429,0.0739731882327278,65.2619104334456
15,p15,0.822915416496211,0.964004004511558,64.9272015067366
