distortion,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32
30,5.823065477,8.178679742,11.32406287,11.39836838,7.018602023,1.821769836,9.909592843,1.489399881,2.766216357,13.16165567,3.31392333,5.88923999,14.71695869,5.474856719,-3.763677212,14.60963275,14.90936286,5.649521532,12.1505514,12.65739566,5.206477601,3.19811684,6.360011386,1.152759894,7.602290858,17.3182789,1.321094268,0.865899653,10.7289592,7.290612688,3.132890721,13.18121822
30,4.288739419,17.15684398,5.353569212,9.472861108,13.45626961,-0.110124229,16.94400269,10.4428964,17.33594411,11.78945719,3.592195044,11.06712335,15.31338567,11.64117831,4.706672175,8.310119407,10.28119697,6.723807466,3.259972162,10.85818919,0.429567187,10.05690243,9.628566543,4.837701313,11.91306744,0.560271704,11.13422619,18.32607796,9.681578686,5.673786502,12.28966937,14.17832853
30,2.395960052,14.81797211,7.185300838,10.83292256,9.152970729,5.764781117,13.23278325,20.28277423,-9.311351785,3.839566282,14.74408774,4.619345886,9.599712191,14.42427054,0.701871708,1.787724114,15.80850374,2.734911201,-6.261602219,11.35632053,5.396409427,-0.702149586,11.19773302,7.561114155,18.26981733,18.78531673,6.964969361,19.2427395,20.5114318,-0.831382222,11.91013531,6.53438116
30,10.23552464,14.04599305,4.515391003,3.776369302,13.74439617,3.806944914,14.41481606,16.65539795,19.96668508,7.413746488,-7.072286416,7.086786009,10.098754,11.10312283,11.9746589,0.679496994,0.239126059,5.493101233,1.573362632,13.77004473,2.970171657,12.74896778,14.30084753,12.26762161,13.38991553,5.538402483,10.43685124,28.5156893,12.26760506,20.24643225,11.03631724,13.81429649
30,2.226949396,23.75525673,11.70819501,8.789572797,7.341803885,6.913507509,13.99628817,14.77858794,1.771507794,19.58457864,-1.503347685,2.725989452,4.867544993,13.45741279,-5.993299703,17.21162638,7.593151847,6.384558749,-2.744587095,23.99289101,-5.54913154,12.95970017,17.18782612,18.60406762,14.41492536,19.31897168,11.46332797,9.525206681,15.47328239,6.471505766,29.61823152,10.53700558
30,-0.565314077,26.84068151,15.65618525,3.062081407,11.6823936,-4.348725584,8.452768246,15.41240174,12.57626183,4.266569017,13.75694199,5.573063439,8.929673123,14.59309537,0.533121604,4.928793464,15.09190543,8.490491635,10.27691377,13.88974283,-1.724253882,21.84654053,11.4159809,3.761964174,12.33345793,18.63424578,7.939015277,14.29748537,13.3844682,2.376239495,7.831281185,18.99906084
30,7.709010575,16.54641418,4.519504543,11.3728242,24.43081433,7.24210818,21.25649951,14.14455689,7.603991008,17.911655,-13.88960937,9.288502252,7.063954318,9.793310171,0.880826194,6.568976312,10.07660651,10.39290628,5.031095495,23.75697027,-3.961522437,8.1537996,-4.057455949,4.941218385,15.14507255,2.679026061,11.34154671,5.585678504,3.300424315,-9.03092836,7.185919839,19.32103126
30,-1.131908141,6.395940292,9.449511242,9.741998965,5.883290691,12.73179765,15.04034981,18.97922704,11.47211644,-1.053130651,4.843340878,2.918420179,0.580159002,12.63364065,0.763248522,3.241780442,13.34369876,5.771111375,-0.258330136,13.5735038,-3.15596229,7.807118168,23.55836325,14.67847361,21.63133455,15.50842112,12.70704985,25.39000707,7.446827371,3.99743051,4.972368339,19.78098645
30,9.055932246,19.42550152,14.17115389,5.026830022,10.34634171,1.866946607,13.99230287,20.05664749,9.45862945,3.391271471,2.512137711,2.909844506,-0.182630626,16.6702338,-6.628534674,1.836084193,8.304431919,5.921734944,13.09792324,4.571783348,-7.357041759,6.777460883,6.148987207,20.82138422,21.57888162,7.221207529,14.20213403,23.80405295,12.02564584,2.77351873,8.016045182,14.67049082
30,8.91665479,7.516213821,11.71007152,8.918544364,10.49755162,6.011470485,6.770230714,24.10475509,1.765616288,16.51559555,-9.840261683,15.16178584,NA,9.869629762,NA,8.562685251,6.0186866,11.84940503,18.92395129,8.533887807,-3.311511155,-1.814144709,21.63451721,2.203144517,16.87970385,9.619236715,11.95611558,9.250373631,15.66365004,10.21016801,11.41990664,10.92475197
