group,signal,phase,lambda,lambda_025,lambda_500,lambda_975,N0,N0_025,N0_500,N0_975
active,localization,main,0.933002146676469,0.570484920591862,0.639540893952877,0.823866484238112,9.88158108696743,8.36181335365642,9.8052496639464,12.2976228544163
active,localization,reversal,0.166953746097716,0.114638248211663,0.151497710585129,0.346555206434302,NA,19.7673665693049,19.7673665693049,19.7673665693049
active,slowprocess,main,0.0214139884631808,0.0186304816734914,0.0210472232228338,0.0217263799465846,26.0078686097575,25.7611955998519,26.4429222380236,26.6342135536035
active,slowprocess,reversal,0.0248103783525854,0.0242067625339592,0.024472460349191,0.0258760975655218,NA,52.015737219515,52.015737219515,52.015737219515
active,reaches,main,0.153526314483085,0.0989100475958205,0.142955440241971,0.178629526517249,24.7010076880536,23.2660304470381,24.7509341360018,26.0889668947794
active,reaches,reversal,0.0902816708781701,0.0801074511513104,0.0988010314512506,0.116202384415207,NA,49.4020153761072,49.4020153761072,49.4020153761072
passive,localization,main,1,0.413945041596362,0.885815026534202,0.956047191130928,6.88276995310764,6.24340660589192,7.01403518897122,7.47772989143109
passive,localization,reversal,0.433370487620616,0.181646642395101,0.2249638031397,0.362037354603078,NA,13.7618198972936,13.7618198972936,13.7618198972936
passive,slowprocess,main,0.0347558469943053,0.0319558586282603,0.0346687472328898,0.037534005636498,25.1834054546881,22.6663777935727,23.6991443685471,26.0510836462658
passive,slowprocess,reversal,0.0446631102331368,0.0420500517008362,0.0456992704279893,0.0485735434488742,NA,50.3668109093762,50.3668109093762,50.3668109093762
passive,reaches,main,0.2702831968981,0.239133684139411,0.316641255717181,0.376659627180009,28.5633038452078,28.1975073053585,28.4530491729986,28.6949992210371
passive,reaches,reversal,0.125974855305708,0.112307259362529,0.128203785677583,0.146467029708443,NA,57.1266076904155,57.1266076904155,57.1266076904155
nocursor-47,nocursors,main,0.568806745008254,0.323380370302124,0.439461312619925,0.561899405504798,15.3257907984437,14.1846153363618,15.4121805203636,15.6224127422575
nocursor-47,nocursors,reversal,0.228168657754358,0.174119586413837,0.201589517247648,0.259500548801562,NA,30.6839754446691,30.6839754446691,30.6839754446691
nocursor-47,slowprocess,main,0.0339432675930105,0.0294423029690154,0.0333846446531561,0.0351208026283543,21.4402314488388,20.4877450085743,21.6976987302706,22.2768969458952
nocursor-47,slowprocess,reversal,0.0405782638443721,0.038336802310432,0.0408564671291511,0.0424707968663026,NA,42.8804628976775,42.8804628976775,42.8804628976775
nocursor-47,reaches,main,0.138472293954515,0.127765121897499,0.145648326218651,0.147183122901105,23.1610219610604,22.4100746211396,22.8460125070013,23.9313568485219
nocursor-47,reaches,reversal,0.12447579986394,0.109332755892668,0.115901900381917,0.122776205737806,NA,46.3220439221207,46.3220439221207,46.3220439221207
nocursor-ni32,nocursors,main,0.51807671784383,0.257326717770757,0.331166072142345,0.422245863843698,15.9238315121144,15.712657177609,16.2256131504198,17.2153657284776
nocursor-ni32,nocursors,reversal,0.214296805332189,0.135903439055897,0.182790803397025,0.223732038720256,NA,31.8936960212083,31.8936960212083,31.8936960212083
nocursor-ni32,slowprocess,main,0.0334889146932318,0.0303001803336149,0.0330018562190305,0.0352838142591836,21.1564078097438,21.377632379016,22.3139046783351,22.4007167887888
nocursor-ni32,slowprocess,reversal,0.0408942281987366,0.0349352222874303,0.0408707161219194,0.0439648261109091,NA,42.3128156194876,42.3128156194876,42.3128156194876
nocursor-ni32,reaches,main,0.144339225121723,0.123689319276193,0.16712794595026,0.179714438232956,23.1569128156703,22.9089052779637,23.1789135951651,23.7916706425835
nocursor-ni32,reaches,reversal,0.129008678611489,0.115412992578518,0.128665983935228,0.143237233260421,NA,46.3138256313406,46.3138256313406,46.3138256313406
nocursor-in15,nocursors,main,0.664153026586355,0.366150159718021,0.57640942988073,0.952720065310459,14.8820769696544,12.813098407519,14.1307798666277,15.965159819366
nocursor-in15,nocursors,reversal,0.253143103168594,0.213079015129587,0.257601524509359,0.329643568565982,NA,29.7551616236062,29.7551616236062,29.7551616236062
nocursor-in15,slowprocess,main,0.0348861133465157,0.0340220275856888,0.0350027664154407,0.0359220098245274,22.0547075821301,21.5012751810774,22.6719093416201,24.168240494791
nocursor-in15,slowprocess,reversal,0.039921279932198,0.0369569670884062,0.0411767956010596,0.0446843161690955,NA,44.1094151642601,44.1094151642601,44.1094151642601
