p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48
6.036630963,-2.194904319,1.079976317,-2.352305298,NA,-5.839861875,0.035577103,NA,-3.63483803,1.244749981,6.409937129,-6.173690855,3.519886508,NA,0.629719466,1.245736528,-0.737490703,-3.620256757,-3.048468998,5.5949567,-3.258517028,2.73243408,1.533995796,0.799142915,2.792408027,-2.992392263,-0.489515849,-3.018301664,-6.839085731,4.302849786,-1.162352169,1.657848698,0.118436061,-3.527433237,-3.542254508,0.964937343,NA,-1.513230939,-4.944617069,-7.666511814,-2.547515005,6.774873079,3.235238994,0.166850589,-3.722266327,-0.347686987,-5.864766572,1.176042142
-3.386421551,-0.001767972,-0.174437212,5.049047784,-2.755807289,1.262940231,-0.890735401,5.688462727,-2.528671048,-4.331742253,-2.675106999,NA,2.077910171,2.225590811,0.805116767,0.57645901,-0.557000126,-0.133300251,-2.62097694,-1.50559971,-0.615103073,-0.706254149,0.275706303,-2.104671187,NA,-5.079523871,-1.9616481,-1.568215176,0.344794627,2.301796229,0.623433296,5.464889145,-3.699777573,3.110687123,2.878646216,2.202487858,3.732063668,5.143467549,-3.331838289,0.443766639,-2.457123004,0.450162369,-1.20921073,-3.97608463,NA,-0.460020422,1.068887683,1.049808375
0.527963768,0.85714437,2.183850713,-0.738054876,1.428720968,2.204694092,-3.692984916,-3.544434792,-1.439096707,-1.04614883,-1.548499252,-2.493951633,-4.709988084,-0.191865432,-3.451248726,-8.116048923,4.451561894,NA,0.523309255,-0.184844913,3.118157531,-2.610310592,-0.807665484,-4.930452561,-0.926289974,-2.633869363,-4.759507949,0.795479824,-1.971451721,0.361092686,-2.667975083,-3.746048002,-0.025926919,0.387884095,-0.979301412,-2.017023536,1.592344405,-1.900862934,1.358674237,-5.748082016,-5.465727272,-3.020348039,2.795872983,1.478202707,-0.535866832,-7.342407173,-2.007071325,-3.718632356
-0.737909335,1.671231658,1.833267424,-3.41766742,-0.025252706,0.46396129,1.250137237,-1.572653387,0.590298799,NA,-0.10575624,-1.45069636,1.269225134,-3.536605892,-8.863996232,-3.352801297,2.899478908,-3.475408681,0.442077812,1.09602564,1.447680717,2.913616444,0.251970187,-4.174041093,0.29721953,-2.433400802,4.438646821,-1.181725672,0.13601729,2.135648587,-1.413550238,-1.434978315,-4.413989944,1.12946846,-3.211277496,-3.743584023,-2.256670484,-0.221306969,-2.594878457,-0.540683112,6.884422882,-3.870591588,-5.010526363,-0.392887854,0.065945194,-2.616379985,0.137238818,-1.898470955
-6.853898779,-3.319563182,0.883871444,-1.318629975,-5.343092434,-4.066871621,-1.892108926,6.860509342,-2.8857928,1.472437671,-3.031170394,1.44434118,-1.810661188,0.522196645,-0.479197911,0.346202054,-1.418805426,3.3741325,-4.475466922,2.829546598,-1.567468689,0.046419335,1.413990175,0.536363719,-3.239871551,0.695764382,3.087207317,-1.920220449,-3.821489267,0.36668615,-5.120676207,1.160787277,-4.700780525,-3.189098314,-4.527927698,0.49971024,5.090858592,-3.554646143,1.022393845,2.305875753,5.161632867,1.4474793,-0.365915277,-2.597173658,NA,4.561865351,-2.979705044,7.157116403
2.157109,-1.140924051,1.99868378,2.078395967,0.929210629,-3.976496111,1.846571756,1.422122148,-1.163210172,-1.611499294,0.365075475,3.877284075,1.572385771,2.801947567,-0.94224558,0.485061283,2.787923287,-5.583671638,1.73824241,2.073889432,-0.324224125,0.975839257,-3.902395232,-0.257903226,NA,1.798106915,-2.770724414,-0.67856246,-0.462476794,0.9618208,1.114223964,1.827714291,-0.271498335,-5.781277435,-0.462928718,3.160596517,-4.986702744,-0.250715812,-2.700832549,3.307691487,8.537548334,1.247473374,2.408506856,-1.380631196,6.234033645,2.111741655,3.152507036,2.349370071
3.282348541,-1.114088206,-3.62251295,2.339891567,0.396785087,1.298767191,-6.489197755,NA,-4.656717922,-0.779804003,-1.285998104,5.089334821,-4.282103737,-0.35772566,-8.001719782,-3.068854363,4.229915087,3.595601135,-1.23979697,3.167289426,-1.15081603,1.701314807,-1.223881345,-2.514177731,1.011746784,-3.083820423,1.948785874,3.074200238,0.902119693,-0.950384401,-2.289098871,2.675711356,3.933405787,2.901550912,-0.779796163,3.846967681,-5.189575062,2.83612642,-3.425974357,0.628956398,-8.190882925,-6.602347851,-4.138621971,-4.037067718,-6.02352978,6.09346049,-1.559061233,-2.30555642
0.446703459,1.542761421,-1.885526912,-3.972100612,1.324667653,1.097396073,-5.866898349,6.56065083,2.274914837,-5.965188522,0.779262852,-0.195780774,7.07440622,1.997587326,NA,-1.770891134,0.014644299,4.462050264,-3.029535677,1.900995956,-3.9769457,-1.898599834,-2.426532927,-6.084210899,-8.273181727,0.639250347,-3.195565685,-1.518692203,2.037671814,-5.364740855,-2.062787601,-4.64935078,0.251386131,-0.573203502,1.811724586,-0.501388927,-10.36842568,2.077854816,4.107747163,-3.519709014,-5.256337833,-0.568918239,3.262602016,-0.458721642,-0.263228064,-11.11540702,0.997586618,-1.886688614
-3.925249329,1.241659639,-0.12674262,-2.041087029,0.135104571,0.95349419,1.352900407,4.889575362,4.145700691,1.20462136,0.110345706,-2.198632088,-0.226614182,-0.707993787,-4.5541747,-1.283377075,0.679023548,2.28003281,-4.098275752,-0.79190777,1.933454767,-0.379103873,-0.158255451,-0.29083004,-2.297845342,0.43419717,0.102074654,-1.404664744,2.189175977,-2.164528002,-0.643564852,-0.430187698,0.411141512,0.9072295,1.416661682,-1.131591472,7.447164276,-5.751742128,-3.932919015,-1.746168383,-1.778140157,-0.318625481,0.440662071,3.371922795,NA,-2.570940244,4.969854376,-1.509772985
-4.004825602,2.833732548,4.924998249,-1.569017959,-1.281478339,1.182735154,1.7752059,3.924963437,-2.723323662,-2.579672612,1.284736871,4.425223586,-3.005667318,-2.463236445,-1.067743006,2.756597203,-0.799072273,-0.833857932,8.502611859,3.572454899,1.487869842,3.712863898,3.753610581,-1.511253275,-3.296451914,-1.468261455,2.378458436,0.769207953,-1.156372889,3.63149224,2.499352803,2.466608338,0.639125474,0.108821102,1.75222812,-0.489585532,0.727222541,3.191201702,0.501731865,1.689261468,0.07198828,2.625859186,-3.492333038,-1.43973402,4.796142702,0.259073302,-2.331338377,7.108872997
