distortion,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48
0,1.962278549,-3.927366557,-1.538758021,12.99542086,7.795892015,-4.105911263,-1.12693134,-6.621098034,8.111899312,-2.351672619,-10.60072041,0.341198403,-0.454686891,-4.964820387,-0.267149915,0.379925211,-2.885426382,-4.470451796,1.502589682,5.117132987,10.57793153,-5.639137379,6.372341106,3.326451776,-2.074663398,-5.579823186,3.225040075,-0.482289313,0.86757647,-6.170908039,-3.797168689,4.185996519,5.771798401,-8.329042924,-10.25658351,-0.157339859,-5.878000468,-9.574867778,-5.867382711,0.195526738,-6.969265006,8.77500226,0.545469018,-11.33436092,3.973318719,-4.99541981,-1.419956268,3.266496623
0,-3.313232829,2.887198482,-1.292976048,9.375572756,-1.384590721,4.085067355,-1.771991848,12.18589084,-1.269614668,4.149409688,-3.673154168,14.27967253,-1.880625254,-6.558388053,0.170541587,3.884502605,-3.098638772,-0.773515439,1.954004012,7.386027416,-7.773251482,2.045280108,7.918879602,0.272751449,14.4236959,-9.622166261,-8.316366428,-0.639957324,-3.045754413,2.892277758,-0.961499215,-0.082131634,4.263860509,-0.556849442,-3.552213964,0.311368723,-3.811639166,-0.989729953,-2.877426745,2.26717035,-1.903934348,-6.905635624,-4.55346224,-3.389371174,-3.396853674,-1.670746531,-2.658923922,-1.19557017
0,4.577678346,5.478342172,-0.643751528,0.745426414,0.139237748,-3.066071193,-7.196082232,-3.355912116,0.685395161,-3.097499158,4.205549405,-4.550012263,-3.071012375,-1.60259301,-3.375714944,0.463044213,-8.397090498,-8.936818092,5.194469534,-8.354172433,9.644230187,-6.660716346,-4.073117247,-2.72820271,-0.027921798,-7.477887777,0.846690006,8.073819691,-1.005997692,-3.099977123,4.379351048,-7.148340594,-2.523646221,-3.256816343,2.709505854,0.02448382,8.309597704,-1.744187887,-2.126723414,-7.563439493,4.500267031,4.188832843,-5.641799584,-2.099281916,8.253566724,-5.267077869,8.018736647,-0.815482487
0,-4.139125741,3.429247489,1.209324526,-7.043202101,-1.740384514,8.431679682,14.57440501,4.277066103,-1.055203971,10.30583891,8.66198664,6.020037433,-6.47428369,-0.695083582,7.043730299,-1.836811943,0.845964411,9.011751451,-1.364945271,-0.289103131,-3.46905978,-6.779142452,1.266615265,-6.899032535,-1.060684379,0.788045774,13.30197703,-3.141323735,-1.603502769,1.084704582,-0.250571509,-10.15947273,-1.171757385,-3.568893939,4.410021994,1.922225919,-4.649219255,3.503123393,2.765464527,-2.001537602,5.881550355,-1.215856284,-7.471173094,0.708471532,-8.754832336,-0.284715425,-1.30245254,-6.278314249
0,-7.819789259,-2.231541404,3.710234253,10.09317946,-3.805612343,-5.782065571,-1.43328254,10.94790378,-2.813020702,-4.961981984,12.21548151,4.00262941,-10.87424124,-2.515504814,0.375697497,0.126952153,-1.926259175,3.21800076,6.33423966,4.986222636,-4.85081342,-8.032411972,7.400431803,-0.534351081,-6.809457404,-5.490604594,0.238223573,4.486159675,-9.068758994,0.871002438,4.91791938,6.353258266,5.033273709,-3.214653729,13.20593649,5.896808189,-1.049868773,0.020136551,7.95234028,12.43241957,15.84383288,0.103340696,-1.302387188,-8.003602537,-13.63196099,15.9271164,-0.082827061,-1.368567373
0,5.572952478,1.710184224,1.493111861,0.153345579,2.324880547,-7.903246856,2.664694521,-0.430676342,-5.775720172,0.150939637,6.477026129,1.402166062,-1.400259054,-3.090246843,-2.898909792,-0.06806623,3.894413008,2.757522296,-4.128407872,-0.587491394,0.022763368,-5.880195866,-2.605808566,-4.537637064,1.30356855,-4.505786683,8.802728414,-3.848135549,-0.814616721,0.379673197,5.03778438,-2.854823697,1.508059345,1.478409328,2.327905715,-6.506686874,4.664622497,-3.071706881,12.10954743,-4.047628692,-6.075322989,1.892163854,2.302110365,-8.649122624,0.605748323,-11.00701554,7.841875,-4.126058986
0,-5.470766182,2.686229591,-4.133848592,7.18759687,-3.176317182,-6.904520983,-8.114440006,9.136872107,1.009734604,12.85921088,-0.446442899,-1.080430941,-3.27619686,-5.70411603,6.915305786,3.965798403,0.196977232,3.498725599,6.794707585,2.382492209,-10.15865813,0.256719134,1.778780733,15.37610728,14.42452645,-3.924738959,-8.032463561,7.384460261,-3.25003807,4.334481056,-7.398162677,1.636471492,5.791952153,0.903330305,0.266796011,8.600764121,-5.594588741,0.799941182,0.740332313,5.652540197,6.221899974,-0.760847294,-3.437312447,-3.375485512,-6.039772473,9.6366377,5.193681416,1.232258773
0,1.683027116,3.780640877,1.231842843,-3.839000063,6.334662242,7.390205642,-7.814958695,-3.733619638,-2.426738028,3.723166249,-6.741748666,-8.969688525,12.01430441,-3.758432194,-2.523858305,0.450524486,5.581197814,2.193606056,0.78993822,-5.438187327,8.986529632,-3.235070056,-3.015346677,-2.490409512,3.457715936,-7.54599249,-8.004047884,-3.472071194,1.232866624,7.580317489,3.107767694,-9.097424545,-3.227649044,4.220768716,3.489795709,-11.09183979,-2.732078934,8.493000559,-2.893765348,2.362303962,1.857156462,-3.984514991,-0.190605133,6.358629886,-0.852760618,0.297556,4.954452425,-5.780482735
0,0.526695788,0.026227129,0.339101604,-6.366340954,-2.476074361,-3.788606165,1.15505408,-1.901581723,3.17280074,6.182345585,-2.450957702,-13.69612885,-1.103287642,1.561021668,-6.272254419,-1.181841716,-4.563722613,6.054394258,0.099644743,-8.250554728,-3.720886746,-11.41120798,-8.06661901,-4.605962053,11.48038938,12.0531755,-4.800482114,-2.475321924,-5.738983638,-5.405638118,1.184995814,-2.848667388,-7.855685102,8.765262643,1.740261482,-6.763933138,-0.089956116,8.045687715,-3.076968446,-6.427473215,-8.630673761,-5.386767347,-0.137875144,2.636519548,6.513839227,12.67071858,-5.33962512,-3.955645097
0,-5.164802916,4.48372576,6.498097814,1.065034113,-8.138009045,8.417708901,5.176988442,1.475485397,-2.614963987,2.583955078,9.633998722,2.390982118,-7.607859101,-1.228793685,5.324332874,-8.05238102,0.238443188,2.042714328,0.17965109,1.070360763,-3.166876202,5.760807606,1.914990383,6.381746084,-8.73917144,2.143449917,14.87159596,13.28358088,-4.209742547,0.105825458,7.554751873,-1.286559625,5.056281077,8.835712102,3.395587828,6.33095595,-1.097379461,0.784224194,0.960243194,-3.520816596,3.795952512,6.875179011,-3.089787928,10.23628244,8.289031191,11.81401418,-4.356016633,4.437917496
0,6.179965406,-1.733173918,-2.265334868,-6.96807436,7.932458817,-4.987490357,-0.298619315,-4.102237488,0.180454788,-2.269802036,-6.787688725,3.868601037,1.195389276,-4.630663706,0.101533957,-0.858526786,7.385975135,2.239335733,-3.103597071,-3.130693221,14.63081549,-1.696740742,-0.070598298,-5.459911366,5.007800601,3.745061223,-6.851459564,-1.081470283,3.048598454,-3.56522086,-11.7774966,1.537698999,-3.332497068,-5.186076568,-5.73417581,-0.648222597,1.30842257,0.164787152,-1.498960955,0.406529659,1.044201553,-4.154912551,-3.123277083,-3.535595372,-9.10512577,-20.5873,8.618443136,-4.245939437
0,9.161073624,3.859330002,6.599631799,-7.892872594,3.006348169,2.692549065,7.587730207,2.876612393,5.679040821,3.508838756,6.640776977,3.809176985,-0.472425848,-0.356356683,11.52273767,5.429642269,3.932900289,-6.631168449,1.096517156,3.377656594,0.80219895,1.860078499,8.955298666,3.277372266,1.485143304,-2.786568985,9.783670394,1.782701753,3.063164283,-1.127378135,7.649323679,10.8461654,7.280464289,2.105104186,0.223491757,0.968304089,9.898250848,0.112851984,-0.414817349,3.154587659,1.796516519,10.0893652,1.301005603,-10.08327213,7.04998407,-12.24959161,-2.611286775,13.60454706
0,4.88392004,-3.750883813,6.152666094,-8.317496902,6.344470726,-0.846608714,5.368096675,-3.059814652,6.581122967,8.026303676,3.599906175,2.7872963,1.956443264,-4.291312665,6.114202683,4.491489909,0.31218218,-1.039070618,2.052096774,2.296729976,-5.052440356,9.056026319,-2.902260359,-1.302186688,6.313817603,-5.751899221,11.2865915,-0.281435359,0.569144694,-2.835337327,-1.133414696,-5.830984825,-1.619598103,-7.143863599,1.569661492,-3.171466666,4.922411804,1.310541926,4.389836566,-4.341824239,-2.775824497,-2.317687081,5.581779907,-4.582527468,2.854023801,-20.98919766,3.413968091,-3.426224753
0,3.448879686,-2.30218291,-2.203807924,-5.59366631,2.740877463,0.361464462,-7.422761102,-3.758138878,0.35403706,6.336715399,-8.1724186,-6.19376226,0.716477401,0.082377538,-1.978008942,-2.070163326,1.072330785,-0.050482036,-4.900577999,-5.811175486,3.871143393,-3.98440253,-16.15203359,-6.657392251,3.975267762,1.691677961,-12.18825795,-1.012693646,2.155445338,1.879584863,-8.7315518,-3.326202437,-3.412750625,-2.789863948,-5.922299667,-7.188500231,13.16467719,11.11593664,-5.666922712,2.866474129,4.927172133,-0.265691995,1.447742129,9.506247288,-2.907327596,-1.030894132,6.320923351,-12.71173467
0,-12.70607497,-0.913976451,3.618002186,-3.648723542,-1.348355689,1.988952486,-2.452350318,4.033940229,-4.022992504,1.396499906,1.129296984,3.71022412,-1.151181041,-0.886086943,0.759164675,-5.649438719,-6.219674478,-6.665275657,2.25259721,3.373141268,-5.110089924,13.43784027,5.765358905,4.332081654,4.315989404,-0.295483821,-9.724034057,7.740898593,-0.510991794,-0.769593088,12.96633972,1.833473959,2.826951089,-0.479946583,13.19610527,5.569058205,6.66317235,-1.135008647,2.230588899,0.899036654,1.579141737,-1.711467195,2.508559575,-5.202260361,3.473366779,10.5491552,-5.419487585,8.953053029
0,-12.40496603,-4.006455921,-1.711894692,10.71687517,-7.147896757,-7.579849721,-7.439494338,10.1527248,-5.104894017,2.784670406,-9.539694758,4.369637895,-1.994762658,3.988153606,12.51014646,7.349775723,-0.892454006,2.129995843,-9.508578403,-3.457663988,-2.599378797,6.429226003,5.02112606,10.18526863,-5.580874683,-6.574889727,-5.380230296,2.948249822,-3.666066393,2.127782001,-1.755179884,1.67802288,6.453486995,-2.420144735,1.148789156,6.484864294,-2.725577193,0.095555601,-6.38765148,1.533032831,-2.553547287,-0.093437859,3.847142146,1.498547751,-4.466411618,7.641033856,-0.685056673,4.664211324
0,-5.488937064,-0.274602403,-3.602180407,-1.662427386,-10.39826266,2.156001127,-4.632630197,-18.80620248,-1.314594157,3.291170885,-7.045137152,-1.468995244,1.263153465,3.074999646,-0.309784762,4.523409614,-2.935829,-12.06169503,0.559376622,6.077862458,3.496966166,8.657482457,8.123783137,7.17463114,2.42496552,-6.602646086,-9.278470583,4.670828633,-2.670401196,0.296498239,-5.955744235,5.686124673,7.256605901,9.847012626,-0.375702727,-3.886542448,1.214352116,3.925829819,-4.266217486,-6.646380611,4.058205926,-2.842128873,3.195421692,6.358982844,-3.737100497,4.965309005,1.494665817,1.972889359
