distortion,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32
30,9.665600062,11.32659113,2.260262612,4.327648527,24.49792088,-1.002223054,3.268574972,NA,-0.650124564,1.144070745,3.272704502,16.28529654,12.66990204,6.020861376,8.439530729,8.716769854,11.22007463,-1.245560935,1.860620673,8.320026565,1.509342662,2.461993188,1.164172621,7.858801498,2.671456214,0.736545403,16.50732853,20.48692731,-6.206881082,4.293821736,5.888640016,-2.069171817
30,19.15828855,38.78373464,8.814122908,5.818258859,20.83718792,7.634227961,0.63050805,28.69764158,1.454543389,3.871644146,5.066100769,7.371775805,15.84085501,11.76458066,13.87347533,23.36635273,-9.012129064,17.75416771,-7.26676682,-12.32393068,-7.519492262,-4.946333183,2.28399391,10.65812902,-3.496904488,31.84605776,7.448558818,16.47186608,13.84102377,12.12618894,1.872382468,21.87436095
30,5.225821901,-10.50429421,5.047352323,6.323763036,20.85401286,3.689480101,16.40528629,-6.048495097,5.87436024,-5.200948652,2.660507815,2.363611443,23.06329314,4.70959019,4.846314447,8.20397049,NA,4.535023694,7.044121722,5.64906595,1.585532393,8.858278455,-0.676587653,9.15542542,-1.481810707,-23.32494117,19.53459437,-4.846563569,-9.608424213,7.432341023,2.335653854,-0.185419969
30,2.591135904,28.22779054,4.985421761,-2.574942919,10.83872325,-5.061315622,19.2805869,14.24759954,-10.21076797,5.487231426,7.731618773,9.384296012,-1.50695968,2.894706686,5.316760319,0.251604666,-11.30934163,6.4758111,13.93070622,-0.253548154,-11.05430553,2.589399397,21.92950013,-1.40202802,-3.978821866,-16.42432469,23.47699098,-11.32578032,-5.200718948,13.1695508,34.55224309,-4.575735034
30,-6.608475543,11.65697026,7.055256324,5.89319347,-4.971292725,-6.391231658,9.019782076,25.99383657,8.124445144,-0.811575809,6.136501966,0.275855549,5.341073937,12.3645842,8.891668918,0.552503108,-1.97131566,4.429483484,3.255133288,1.56789384,-10.90265282,-8.535409064,9.234168324,3.061252118,-6.950568562,-11.12624931,10.63308363,32.9761338,-14.22951663,15.10390734,-1.837568381,13.73725442
30,20.61861289,1.363554192,7.405353054,2.176511151,15.6313252,-8.4214926,26.32477409,21.27566648,-2.048962034,2.31043637,24.08127915,-8.420551559,26.59678081,2.020199648,8.886336898,2.912673999,39.69758548,6.002981961,15.63657844,-2.305220132,8.436030531,-0.322439119,-0.386355992,6.255261133,9.265315209,-14.78120756,21.65106025,24.59443488,12.45014942,-4.294099907,17.89695565,4.638980083
30,5.849853623,18.86117923,4.67450006,10.62126232,-1.285725251,4.323160464,10.5959186,24.53422544,-4.773194629,-0.879473216,-0.398321847,-4.475582867,10.08290355,7.39977986,9.067862983,-6.492565198,-0.869493602,7.824710811,3.257912641,6.208982056,1.452379437,16.76452535,-1.008482667,6.863546521,0.122746731,25.26113041,7.229648307,15.30783808,0.742855293,12.05160519,-1.74122525,16.89226622
30,10.48483667,34.60674486,4.329278189,-0.381406067,12.90772488,0.922655876,14.58311392,-6.195761149,8.850488732,0.5980626,12.57710007,-6.333092965,17.78814429,19.38508497,14.83802719,3.255486793,25.04270554,21.36833801,3.349522817,2.795449982,-0.262092422,10.75398365,-3.860944365,8.54401398,-0.607756782,3.238320766,9.058107146,11.34462431,4.548473538,19.55412377,-5.523237189,-1.581694365
30,8.889213846,12.62876375,7.772311685,7.431621305,10.59847127,5.132767362,2.846179342,-9.838582559,4.235939974,-2.259013996,8.029012097,0.529782329,24.39975506,11.26221456,17.14431855,8.044482043,-7.166529754,10.60364298,-0.754193458,11.03989203,-4.905874401,4.265801709,-2.940564661,8.427598614,-3.087537438,NA,10.87208981,-3.62652426,7.716602502,8.714056474,7.95388984,7.319591031
30,3.156507749,14.3327789,12.34732377,-2.000387626,0.5099143,-6.274123709,18.94892446,12.42465272,-2.651678098,6.555043704,12.42490779,1.003435472,4.837892048,35.00732433,8.392102644,8.778176254,-14.50417653,15.07744044,5.085605278,4.672869697,1.996383306,12.01486224,6.960148195,7.655180015,-0.550900007,34.05721789,23.06757428,25.39328653,0.535425964,18.14864774,0.744857145,0.805885237
30,-0.154702991,2.865859555,4.903123703,-1.832577505,12.22690592,7.01252428,19.87584372,-4.742564303,-0.83529437,10.52350974,10.26563772,1.436155657,13.72973548,1.517797768,14.88939706,1.631962082,13.69042748,1.714068076,-7.884150429,-0.950401303,8.295662402,21.10152373,-0.099281274,10.64944375,13.49150527,NA,-0.26547996,20.00558485,13.23791349,1.697913319,-2.275946367,4.671525034
30,12.38746493,13.5184693,14.15255332,1.152669145,16.26006154,17.74761752,12.12311693,6.054042308,9.869650021,6.672700723,19.40717451,13.60963939,1.474267162,-2.234358084,8.902175662,14.5398695,28.60369457,-11.72345663,11.84253047,5.975144684,13.75186893,4.534292693,NA,4.464201876,21.38122586,13.84547181,27.19649502,15.90700401,10.2551988,-8.414930173,11.49843986,11.54612204
30,5.159147307,12.56657097,18.75167751,-3.384775,17.37832328,11.49150555,14.68373138,16.50754124,-2.353737071,15.62422739,25.1553463,-2.813950023,16.69729706,2.761720088,1.169930314,-1.009271119,23.50066798,-0.730479553,4.701055964,-2.02097659,18.33137858,14.74659803,-0.157522716,-1.884747398,3.669026682,-10.55675958,11.68309703,13.61704599,9.749904213,27.62510687,22.69732981,2.280227778
