group,signal,avg,lwr,upr
active,localization,1,1,3
active,slowprocess,151,150,NA
active,reaches,17,10,27
passive,localization,1,1,7
passive,slowprocess,78,68,84
passive,reaches,16,13,17
nocursor-47,nocursors,4,5,10
nocursor-47,slowprocess,92,84,96
nocursor-47,reaches,25,21,28
nocursor-47,nocursors-mv,NA,NA,NA
nocursor-ni32,nocursors,7,9,16
nocursor-ni32,slowprocess,NA,NA,NA
nocursor-ni32,reaches,31,24,36
nocursor-ni32,nocursors-mv,NA,NA,NA
nocursor-in15,nocursors,3,2,6
nocursor-in15,slowprocess,105,102,108
nocursor-in15,reaches,22,17,27
nocursor-in15,nocursors-mv,NA,NA,NA
pause,reaches,13,12,15
pause,slowprocess,115,107,127
terminal,localization,4,4,18
terminal,slowprocess,91,85,92
terminal,reaches,2,2,2
exposure,localization,3,2,8
