,participant,rs,ls,rf,lf,MSE
1,p1,0.990998177903733,0.0332376477824957,0.266544894371288,0.430046583133986,48.8278508812425
2,p2,0.997696202491578,0.0243135406862712,0.644831922345067,0.195410293042457,31.1001307680094
3,p3,0.751086930350039,0.192136726581402,0.751074308806634,0.501748101041716,174.741397786209
4,p4,0.99999999983807,0.0262958929674478,0.597223518141007,0.249476492902264,38.5377461719609
5,p5,0.999999999836894,0.0302036897710769,0.257731405311251,0.427222206952246,43.1258392428166
6,p6,0.996992956793344,0.0659443547575231,0.782169077107809,0.36266802390808,41.3635569873478
7,p7,0.999999999891525,0.0293554603603515,0.50605953644814,0.165178510544719,31.2892734131047
8,p8,0.999999355807637,0.0233058371812402,0.778117528158503,0.0865986925665521,56.6524778334219
9,p9,0.999999999841954,0.0281601506724013,0.619711878276881,0.16534817297574,33.4693888394597
10,p10,0.999999999202245,0.0301331374689466,0.700640583646004,0.0743255316103923,34.3545193385107
11,p11,0.999999999258818,0.0320847106954251,0.726208156422814,0.169855454015859,39.258593044698
12,p12,0.991459166500854,0.008759549619002,0.733763134990856,0.217955977778738,29.850497371035
13,p13,0.664357056558662,0.200892007229373,0.664313631530818,0.804971517337427,103.659967061342
14,p14,0.996881669104524,0.0234281352672728,0.72619269649192,0.125104573306043,34.1854425074596
15,p15,0.999407757156844,0.0123442698331257,3.95403423781421e-05,0.200449735301197,20.3958652099068
16,p16,0.999999995215395,0.0271676060258586,0.756647900959745,0.0719880366191815,78.0360347216909
17,p17,0.625035978005306,0.365806760257857,0.625032090675999,0.56062979886518,90.788683474131
18,p18,0.999999999834771,0.0415630381984765,0.562589367951443,0.923047278951289,27.1758128702939
19,p19,0.574379074421671,0.436742487331408,0.574144204585022,0.654840917555874,88.3620064483392
20,p20,0.736470328908033,0.244637625981562,0.736375318151075,0.524321408232011,210.557317898881
21,p21,0.703086847782689,1.42820077783232e-08,5.93105115196634e-06,0.104945608167331,67.9176889577215
22,p22,0.999999999745837,0.0552694572584424,0.252235760766462,0.905618847704663,52.6657478626945
23,p23,0.999515504977058,0.0366997354727177,0.60918691189291,0.226902699820543,66.0032003737899
24,p24,0.995593237582776,0.0475528523753155,0.0634152730965289,0.485005870316,92.6756319608914
25,p25,0.999917174310118,0.047921339778559,0.762878201090242,0.36777946911208,25.0073928193391
26,p26,0.995576654075781,0.0243788481536024,0.274616294503924,0.101229288605487,44.3878333462695
27,p27,0.999999998921725,0.0331129366817074,0.54697839119119,0.233880368361227,31.7223914730829
28,p28,0.999999999693826,0.0426758973361634,0.730474795262844,0.431435705661247,24.8884181024504
29,p29,0.992771419411942,0.0379250377651939,0.617421564319757,0.206488615864335,26.6217235966253
30,p30,0.99999999911643,0.056846488877116,0.755487588727318,0.374030859167991,46.8793190665912
31,p31,0.999999991547059,0.0140837339036068,0.896305832250241,0.176643799982931,75.2035464366064
32,p32,0.708141860637533,0.543045953711859,0.708100056075241,0.574233001859505,84.2042713410941
