,participant,rs,ls,rf,lf,MSE
1,p1,0.986338548715795,0.026627764085122,1.48001634937876e-07,0.210964567907358,47.2752220191339
2,p2,0.989198186060505,0.0216270170370275,0.611908746094473,0.280187993485659,44.955358505155
3,p3,0.995226599989302,0.0343340546453289,0.569964424071457,0.219278443106332,53.4660158902181
4,p4,0.969833926930496,0.0163044835728565,0.68054824501824,0.162820369644196,43.2992887153114
5,p5,0.996240977818965,0.0384829247555877,0.767986747712746,0.1381132729542,34.7590711796622
6,p6,0.999373130659795,0.033613916917835,0.386235985905595,0.362874484276658,50.7590615444889
7,p7,0.977545974374164,0.0423370407901079,0.563695136545742,0.17474846813437,83.191537076047
8,p8,0.996519945079569,0.0829515950194914,0.632958447752721,0.382560694225883,98.4749741060185
9,p9,0.988021194688101,0.0336771889945626,0.620031866973227,0.36754250552232,60.6418010038172
10,p10,0.993098548172684,0.0352861140007753,0.520483459375814,0.407251483595709,26.2047619536089
11,p11,0.990611754853852,0.0343898775699405,0.51062392007836,0.163344606786015,52.6402344456566
12,p12,0.995903937960139,0.0387762391073126,0.443458240282219,0.301303656558338,40.730639251557
13,p13,0.996518289053072,0.0536262462633266,0.0954603879837309,0.579357155176656,48.6915500965458
14,p14,0.976298226630043,0.0618669749505113,0.562217348643904,0.0774510648348587,64.3434342916475
15,p15,0.994329561029227,0.108907771912213,0.698021068725424,0.665056090390939,56.4841266526083
