,participant,rs,ls,rf,lf,MSE
1,p1,0.690330032152467,0.468601882289027,0.69026659986178,0.622452467720182,87.9412892057703
2,p2,0.999999999218731,0.0710828592919049,0.754655779907849,0.189839102278822,43.7042512129395
3,p3,0.999999999899261,0.0610595502372234,0.663836422457888,0.411049234282051,50.0139828349646
4,p4,0.982742302980468,0.122968572509627,0.318024854278027,0.722160150568316,58.955228499628
5,p5,0.999999999528277,0.144717176061644,0.657920614018928,0.961385784743769,47.9414451591237
6,p6,0.999999999506069,0.0533047600137016,0.730698545478486,0.210922175060203,42.6665639592957
7,p7,0.999999999650904,0.0732194292188229,0.679193338127677,0.531551625104458,48.1770005854922
8,p8,0.999999999538014,0.12234062457214,0.737507770664575,0.999999985578694,73.7956571042371
9,p9,0.999999999548216,0.0699980831364561,0.833204556675919,0.327200442422589,80.6161655065413
10,p10,0.717724610775137,0.312710171786651,0.717656514523352,0.809415071017765,123.014379362732
11,p11,0.999999998413275,0.0554108437975792,0.742356969578307,0.340004304425599,30.4434593183628
12,p12,0.999999999624432,0.0827805627601465,0.884846557362675,0.252422355014734,88.5895579978392
13,p13,0.999999999848346,0.0943381421614604,0.769227038371749,0.291654953554371,63.8067435575726
14,p14,0.999999999808747,0.0465822023305699,0.552243016339577,0.820578978339794,90.9954178002025
15,p15,0.999999997836117,0.10967474797054,0.901226843840744,0.338750963460511,80.4558361648115
16,p16,0.822335439559245,0.232486502158809,0.822334175032651,0.724066499864279,113.481652219513
17,p17,0.806203992384849,0.370413726642114,0.806168450170895,0.688910216934475,163.990898247832
18,p18,0.999999999961679,0.0392320220242997,1.06436366972024e-07,0.590037452336681,74.3716640575682
19,p19,0.999999963794603,0.0412811798306414,0.830230008041658,0.28293295047405,91.6039146244103
20,p20,0.999999999967453,0.0636247253311775,0.524771984240933,0.302331822929778,46.2416464592875
21,p21,0.99999999977014,0.0391460245151769,0.496146316896778,0.384088092605304,66.7294679572598
22,p22,0.999999999261433,0.0767371269748185,0.746851911735898,0.289553622723515,52.2266717049843
23,p23,0.999595898867027,0.0438354272374269,0.776322703613546,0.50122812088237,85.9446596674367
24,p24,0.743204457227563,0.313378507759197,0.743183139735604,0.877094656635645,183.031538257303
25,p25,0.99926885994743,0.0688680103175098,0.806802752964666,0.172856540964362,52.2974821612463
26,p26,0.999999999520777,0.0864717623188179,0.680365306982471,0.753736252373534,66.0114036913746
27,p27,0.811322153321715,0.261177680607654,0.811319150830909,0.7599804940294,64.6545855247987
28,p28,0.780934645208787,0.249459655169688,0.780875822911625,0.930346379249876,73.8828684274076
29,p29,0.998443951409706,0.111257166730183,0.890442310510655,0.259038003410372,30.8182786158366
30,p30,0.762917995100105,0.638802603550204,0.762859050810161,0.715056279961156,68.3722345333053
31,p31,0.801903291689997,0.0340430920113336,0.80187034529103,0.956089496788799,91.4954695555067
32,p32,0.999999999872256,0.0104373238841437,0.961670351907564,0.0767002764305623,57.935335549237
