,x
One Rate Model1,39.7068538380345
One Rate Model2,40.5191192460276
One Rate Model3,44.0059211149666
One Rate Model4,43.0300149702627
One Rate Model5,42.607178162023
One Rate Model6,38.7699127130886
One Rate Model7,42.5043926633138
One Rate Model8,39.3008617098931
One Rate Model9,42.4970359580844
One Rate Model10,36.6342267629726
One Rate Model11,41.9642928736249
One Rate Model12,36.2231398437954
One Rate Model13,41.3950194278047
One Rate Model14,40.4922532855028
One Rate Model15,34.4139938595397
One Rate Model16,40.4184396469499
One Rate Model17,40.7320585766443
One Rate Model18,41.3531879104016
One Rate Model19,40.610690566556
One Rate Model20,44.9381748984384
One Rate Model21,39.2808678860461
One Rate Model22,42.1531244979008
One Rate Model23,42.3093432470729
One Rate Model24,42.5917251048097
One Rate Model25,39.2315458689928
One Rate Model26,37.3809480583304
One Rate Model27,42.284029871338
One Rate Model28,40.5008982814696
One Rate Model29,37.8814360718936
One Rate Model30,40.6615714600038
One Rate Model31,41.2875762800182
One Rate Model32,40.3705544336808
Two Rate Model1,41.6308896779637
Two Rate Model2,39.3754454530747
Two Rate Model3,48.0059210984107
Two Rate Model4,40.4511482116379
Two Rate Model5,41.019684916077
Two Rate Model6,40.8013864676296
Two Rate Model7,39.3998261023696
Two Rate Model8,42.4325286859691
Two Rate Model9,39.7442387204662
Two Rate Model10,39.8731598383434
Two Rate Model11,40.5547672343931
Two Rate Model12,39.1703928370601
Two Rate Model13,39.0854226397416
Two Rate Model14,39.8483848764305
Two Rate Model15,37.2661771953161
Two Rate Model16,43.9793341471046
Two Rate Model17,44.7320585641541
Two Rate Model18,45.3531878319176
Two Rate Model19,44.5965957603089
Two Rate Model20,48.9381748894412
Two Rate Model21,43.2808678760895
Two Rate Model22,41.306794901066
Two Rate Model23,43.1379015012775
Two Rate Model24,44.834913156614
Two Rate Model25,38.2852427281317
Two Rate Model26,41.1542123622207
Two Rate Model27,39.7531777193017
Two Rate Model28,38.6197563341961
Two Rate Model29,38.5980231706088
Two Rate Model30,41.4161188759371
Two Rate Model31,43.7903754154573
Two Rate Model32,44.3556135701363
