,participant,rs,ls,MSE
1,p1,0.813636581515006,0.77341769087378,87.579908727729
2,p2,0.793755345632131,0.807832466740157,207.888610623588
3,p3,0.853343541232396,0.708239015483021,168.384589304072
4,p4,0.856826619643978,0.651243876397218,92.2968717593304
5,p5,0.818383649721699,0.9999999678646,130.958565093387
6,p6,0.843449112973526,0.630113035311078,198.388627374293
7,p7,0.890537539228132,0.488582418535309,144.981219436239
8,p8,0.933612258068249,0.180912292009338,117.337806408687
9,p9,0.8068292066906,0.637950356908654,85.0022621079003
10,p10,0.814291117277337,0.632747140693599,126.399447530712
11,p11,0.720851890928264,0.999997925544371,238.787397123597
12,p12,0.801059575759284,0.999999907751455,156.074536529919
13,p13,0.769897180136675,0.943553449176085,38.7629765238685
14,p14,0.720208513279357,0.999999892134524,145.815234130836
15,p15,0.999999998649049,0.113804779870375,98.3156025017913
16,p16,0.997792359065963,0.0580334170805272,60.8284528193511
17,p17,0.75628542403676,0.999999916828957,61.3426127208767
18,p18,0.737183392673922,0.999999926535582,122.694130905234
19,p19,0.796994188270364,0.99999999805784,53.2686317854995
20,p20,0.741627703821632,0.999999969728607,120.041147552179
21,p21,0.774852818354105,0.999999999625499,98.3163738714848
22,p22,0.801826471041622,0.999999768203786,83.6994128510238
23,p23,0.668875755831998,0.999999832035974,97.8492254231564
24,p24,0.796341620961728,0.9999990617231,284.530489621043
25,p25,0.988381789991773,0.0568754385938872,59.5309050828742
26,p26,0.915960472203811,0.210096372918724,120.008120928498
27,p27,0.774479562237558,0.999999792304944,123.877254558657
28,p28,0.789964609901758,0.714445741683189,132.655018705924
29,p29,0.776147166099993,0.999999949340091,85.268816461442
30,p30,0.862299171810445,0.43731863048254,129.172757613674
31,p31,0.751445979194171,0.999999840149918,72.3382397196737
32,p32,0.997980412631229,0.0588442123356132,91.5637833247028
