,participant,rs,ls,MSE
1,p1,0.706602093623906,0.999999984441015,88.1446641633488
2,p2,0.91289568793748,0.371946939158226,77.8473363685521
3,p3,0.824416923239338,0.763978050434807,92.7253522635658
4,p4,0.943935377278933,0.279016975045717,64.8103642049363
5,p5,0.864882462052784,0.999999790707911,67.3957496935358
6,p6,0.871823950135083,0.474589809077763,89.9805045679027
7,p7,0.84861741255206,0.814669937127474,84.6736195370941
8,p8,0.831720260750188,0.999999882853786,102.248011288887
9,p9,0.882130546972618,0.65167103747259,114.348603170511
10,p10,0.734785926471094,0.999999741645135,123.428015098285
11,p11,0.815457236570572,0.703814314284162,72.0617679659275
12,p12,0.930619527697412,0.539618052369367,110.572287988757
13,p13,0.919390354293107,0.497901971948621,86.6589711748273
14,p14,0.820458464281997,0.795467152005787,165.621797623097
15,p15,0.911835892397617,0.600606038341383,93.735959935362
16,p16,0.822353407782897,0.956616480088685,113.481653074263
17,p17,0.812163780868488,0.999999962806391,164.068209746158
18,p18,0.731654283343191,0.823757009935945,143.366772317592
19,p19,0.81142353341555,0.793917992423978,181.277789868516
20,p20,0.857414835134034,0.699358474642911,95.9375190940634
21,p21,0.782779270696587,0.831879301678522,162.758709340033
22,p22,0.884049991575809,0.561143571377437,76.3966104972473
23,p23,0.809177735176802,0.746710151775707,127.978551830621
24,p24,0.764178708549229,0.999999931906781,184.099792771892
25,p25,0.920345085209965,0.321407875648255,75.8050587078006
26,p26,0.876873154310202,0.763637868223409,109.298241144422
27,p27,0.813522137390038,0.999999710510612,64.6636016615793
28,p28,0.801586635738692,0.999999978298863,74.7657959231954
29,p29,0.911239928318718,0.679760115085199,37.3593262823234
30,p30,0.791633869069944,0.999999982145717,72.6601491026503
31,p31,0.801906077405147,0.990194503185089,91.4954706373061
32,p32,0.982887193370266,0.0544568934026924,65.5353208069927
