,participant,rs,ls,rf,lf,MSE
1,p1,0.99898721353796,0.0375018511763295,0.220979130141107,0.384468041058338,48.4842042299563
2,p2,0.998393332406952,0.0343639885720384,0.660083530004995,0.118239425142773,42.6220245862976
3,p3,0.999999998476304,0.0639848482284849,0.67081933780109,0.615664504460346,57.6896902114121
4,p4,0.999999999946282,0.0485513881732187,0.426002422705297,0.607529005536916,37.0386152511992
5,p5,0.945552930724785,0.0386655161068616,0.183301493575986,0.188770526549079,56.35570383011
6,p6,0.971261102721187,0.0627866983186601,0.228433307337935,0.198632503939263,79.4523003755573
7,p7,0.975344908382179,0.0663362720655241,0.219919215291339,0.559161310399733,230.75613083813
8,p8,0.989343391717356,0.0211891775773764,0.604452978209817,0.234997295013652,79.673125155133
9,p9,0.991893608752004,0.0168221574885813,0.795289172972817,0.0810323905337335,35.8159343820517
10,p10,0.989928301990198,0.0241861352714887,0.661190303856824,0.114997671311486,78.1523210724548
11,p11,0.984771048522669,0.040293483537565,0.305508895257967,0.157232581903705,47.7155345777846
12,p12,0.991073270593069,0.0619665186596627,0.697374435184775,0.119992637966333,39.9444063170566
13,p13,0.99814448379733,0.016578376738039,0.372746027065329,0.261180084031509,75.039420186781
14,p14,0.992072164236223,0.0293111656999329,0.519420184926566,0.19541329186254,38.8182673182603
15,p15,0.990729978060614,0.051223921473192,0.593870173971063,0.444484724372282,55.7030973187344
16,p16,0.994941538600349,0.0345006256626865,0.786863621196864,0.207233179573719,58.917963775552
17,p17,0.985282142822377,0.0400279220573717,0.165046686316866,0.305518442697398,67.0955567704376
18,p18,0.999999888067242,0.0693740418472474,0.79549397967216,0.201282254045991,84.3733555301317
19,p19,0.98302132853049,0.031310730562643,0.681407430332645,0.157054243486071,52.6747542893498
20,p20,0.977583955024555,0.404423659676854,2.02632853344617e-07,0.404423710968645,98.2431264815429
21,p21,0.99992935459395,0.0275827090685349,0.56137078079193,0.269846480113228,65.4257684930995
22,p22,0.999999290327708,0.0646101238775593,0.660042766181099,0.372100234804512,46.8549876556244
23,p23,0.985502136421261,0.0306653719281731,0.459441572873274,0.40285132144754,47.3709199782677
24,p24,0.986502748474171,0.0421064559405055,0.491110176592124,0.153062092566752,45.9922866255186
25,p25,0.980787207715901,0.0428085340702481,8.96118705119007e-07,0.255215233982381,40.0686667279949
26,p26,0.990434438901058,0.00562610395878313,0.794558344222829,0.0658516305011827,69.4223583716537
27,p27,0.989759064229697,0.0306070141205751,0.715564833077555,0.117156393524692,78.2549437291089
28,p28,0.990792984189013,0.0299162952109999,0.530084552313699,0.355260865342158,62.0934526749157
29,p29,0.880863008349595,0.0226120726287347,0.880834336390683,0.307123817098299,90.3975935897784
30,p30,0.993962189573211,0.0378410625634279,0.581868534432305,0.128349575797353,30.4220281764286
31,p31,0.973901129099908,0.0465484495845354,6.69285365994583e-07,0.220223561348434,48.5871185795962
32,p32,0.999839377496205,0.0752249374596584,0.704934197317576,0.244951607348199,93.1863840992079
