,participant,rs,ls,rf,lf,MSE
1,p1,0.986365933690359,0.0266627712060613,1.358936391109e-08,0.210841523896441,47.2750993844397
2,p2,0.989197683677192,0.0216281133721435,0.611865733630865,0.280187889090243,44.9553585354836
3,p3,0.995226010921095,0.0343353251031673,0.569894714169755,0.219365273613511,53.4660160973148
4,p4,0.969823270218514,0.0163090036992085,0.6805137153287,0.162848481565452,43.2992887033378
5,p5,0.996240395122602,0.038481409255984,0.768027989840081,0.138117720857916,34.7590711110643
6,p6,0.999374997873464,0.0336149705854037,0.386434656932491,0.3627458467634,50.7590608745967
7,p7,0.977545020368016,0.0423377082854602,0.563926262159493,0.17469877141786,83.191536889457
8,p8,0.996520248701629,0.0829564633069785,0.632983075547308,0.382521232182768,98.4749739989975
9,p9,0.988020948363063,0.0336821638348954,0.620096291426032,0.367494371269618,60.6418007694482
10,p10,0.993098531211957,0.0352847235686413,0.520393939615317,0.407308086257995,26.2047619714831
11,p11,0.990612505866806,0.0343914232050948,0.510419547170128,0.163442116706237,52.6402342913847
12,p12,0.995904486635765,0.0387762709182326,0.443559562888379,0.301211328960226,40.7306395204676
13,p13,0.996520061041291,0.05359411857832,0.107774313622746,0.570711034055791,48.6925762091283
14,p14,0.976311866412858,0.0618418485546985,0.562370651249083,0.0774421322034189,64.3434347965006
15,p15,0.994329006850115,0.108906413315559,0.697956803192215,0.665134641164201,56.4841266642989
16,p16,0.999999999195486,0.0478497482167684,0.778860724967921,0.112842646442457,75.0714820120083
