,participant,rs,ls,rf,lf,MSE
1,p1,0.99899282711466,0.071012835774748,0.684978423544315,0.428887938421172,60.2371443593181
2,p2,0.793852723376324,0.0471771370982704,0.793711472153333,0.760767809726503,207.888610613383
3,p3,0.999999999761797,0.0533321204022384,0.721276017843341,0.287998164610773,95.566595383166
4,p4,0.99998144549809,0.0771399633540276,0.717768721648984,0.378220147405319,66.052651983891
5,p5,0.804142027562577,0.32269329685872,0.804132206225334,0.82904314883657,130.223225880298
6,p6,0.999581550870218,0.0397200833412335,0.476935961220195,0.536906823809884,87.1457278389128
7,p7,0.999999999741405,0.0682354910311197,0.646106538933719,0.285383480645082,100.211399387552
8,p8,0.994240698164319,0.0493379162987854,0.656297427367696,0.213243767529693,92.0171386951974
9,p9,0.996857145177822,0.0577842292756098,0.534708013699975,0.403025473299505,53.8313459018552
10,p10,0.999999998743644,0.0541885897212675,0.537062283246116,0.369595437274256,78.6789706905929
11,p11,0.821353207188656,0.49826926793363,0.0348638689277233,0.498269335743016,235.983184522793
12,p12,0.783753416508146,0.214200563442677,0.783735871117734,0.997556616783481,153.931037160817
13,p13,0.992410521685573,0.0782782040768105,0.463660198241019,0.691222305362905,24.6804430012811
14,p14,0.641158979532858,0.722065771360539,0.641071329416667,0.763657149602284,141.619565554342
15,p15,0.999999999739566,0.135507550157773,0.143373311200209,0.27622855027255,95.7453549512994
16,p16,0.999022985228732,0.0714951927968488,0.280805362912104,0.312784713110895,51.9946826135824
17,p17,0.996358307110647,0.0642678397422645,0.00813538204067694,0.430497520304185,36.9361996930192
18,p18,0.704262198082682,0.417798603528711,0.704235605626007,0.924954992640649,117.036015119666
19,p19,0.746165672543592,0.716975527697142,0.746162091654023,0.802307480138309,48.8564838462525
20,p20,0.694712788089052,0.455812310562731,0.694707453503241,0.872542817698505,116.955401983377
21,p21,0.749223486189793,0.214552559538034,0.749128796235838,0.980821136284504,97.6966283892538
22,p22,0.999999998634537,0.0586813107731092,0.876466462101338,0.128412097776353,50.401759694171
23,p23,0.996114488994536,0.0500975265385318,0.0782928047922542,0.602882634418603,65.8709686241176
24,p24,0.763300459696026,0.362864285125673,0.763233595682909,0.972653591911014,280.195177445561
25,p25,0.989703897688867,0.059465092740087,0.384007315393295,0.287180985505222,48.7447188797924
26,p26,0.99377387709958,0.0479591132984033,0.285706799286194,0.393524072178767,90.5498893784977
27,p27,0.749194708646937,0.333852008529249,0.749137508324924,0.896414735327705,122.358224146359
28,p28,0.999999998918148,0.0446585461548648,0.454658052171288,0.390013722625944,72.3671587423934
29,p29,0.745193276740311,0.326557170269243,0.745160015451442,0.95673268969335,82.1627302593591
30,p30,0.998723458466585,0.0416654768438633,0.822033148954445,0.268695179244821,94.8074780986259
31,p31,0.745283215119775,0.0425293852152443,0.745269186282494,0.998515385375026,72.285145366576
32,p32,0.999480150234972,0.0733834737140251,2.4161874709253e-06,0.453682937818162,81.2221341924375
